Area,Area_Code,year_2017,year_2018,year_2019,year_2020,year_2021
itl321:Shropshire,TLG22,18922,19678,20193,19894,20704
itl321:Stoke-on-Trent,TLG23,14179,14876,15237,15232,15470
itl321:Staffordshire CC,TLG24,17961,18661,19217,19090,19932
itl321:Birmingham,TLG31,14434,14877,15410,15676,16183
itl321:Solihull,TLG32,21748,22541,23114,22271,22984
itl321:Coventry,TLG33,14672,15007,15211,15097,17175
itl321:Dudley,TLG36,15543,15978,16411,16510,16893
itl321:Sandwell,TLG37,13599,13983,14477,14682,14614
itl321:Walsall,TLG38,14644,15155,15382,15459,16106
itl321:Wolverhampton,TLG39,14426,14872,15314,15557,16008
itl321:Peterborough,TLH11,17066,17475,18156,18325,17841
itl321:Cambridgeshire CC,TLH12,21519,22336,23251,22762,22920
itl321:Suffolk CC,TLH14,18671,19393,19866,19694,20371
itl321:Norwich and East Norfolk,TLH15,16849,17403,18101,18033,18605
itl321:North and West Norfolk,TLH16,17936,18722,19695,19333,19823
itl321:Breckland and South Norfolk,TLH17,18054,18586,19263,19166,20061
itl321:Luton,TLH21,16199,16526,17133,17592,17211
itl321:Hertfordshire CC,TLH23,24698,25612,26244,25484,26496
itl321:Bedford,TLH24,20528,21340,21938,21713,21328
itl321:Central Bedfordshire,TLH25,20919,21561,22126,21573,22509
itl321:Southend-on-Sea,TLH31,19485,20229,20894,20763,21874
itl321:Thurrock,TLH32,18235,19129,19737,19710,20455
itl321:Essex Haven Gateway,TLH34,18884,19614,20241,19969,20916
itl321:West Essex,TLH35,24220,25652,26370,25694,26276
itl321:Heart of Essex,TLH36,23576,24584,25291,24860,25700
itl321:Essex Thames Gateway,TLH37,19832,20790,21437,21100,21893
itl321:Camden and City of London,TLI31,46496,48986,49423,45309,63854
itl321:Westminster,TLI32,53883,54307,53770,49088,67389
itl321:Kensington & Chelsea and Hammersmith & Fulham,TLI33,58711,61247,61175,58417,64660
itl321:Wandsworth,TLI34,37506,39441,40603,39481,41584
itl321:Hackney and Newham,TLI41,20739,21923,23015,23238,25384
itl321:Tower Hamlets,TLI42,25413,26342,27137,26422,29716
itl321:Haringey and Islington,TLI43,29087,30498,31774,30835,34375
itl321:Lewisham and Southwark,TLI44,23968,25388,26294,26385,28501
itl321:Lambeth,TLI45,27379,29171,30296,30219,31534
itl321:Bexley and Greenwich,TLI51,21459,22362,23296,23229,23947
itl321:Barking & Dagenham and Havering,TLI52,19377,20426,20996,21130,21412
itl321:Redbridge and Waltham Forest,TLI53,21855,23225,23904,23839,24452
itl321:Enfield,TLI54,21562,22509,23471,23522,24595
itl321:Bromley,TLI61,26318,27766,28448,27888,29032
itl321:Croydon,TLI62,21637,23022,23833,23874,24323
"itl321:Merton, Kingston upon Thames and Sutton",TLI63,25893,27542,28344,27730,28770
itl321:Barnet,TLI71,28310,29789,30316,29661,31645
itl321:Brent,TLI72,24069,25528,26239,25937,25842
itl321:Ealing,TLI73,26073,27029,27708,28061,26673
itl321:Harrow and Hillingdon,TLI74,23360,24391,24901,24383,25089
itl321:Hounslow and Richmond upon Thames,TLI75,29804,31776,32948,32092,32202
itl321:Berkshire,TLJ11,23874,24662,25865,25552,25468
itl321:Milton Keynes,TLJ12,20531,21454,21895,22096,21409
itl321:Buckinghamshire,TLJ13,26907,27650,28508,27533,28440
itl321:Oxfordshire CC,TLJ14,23739,24572,25715,25205,25073
itl321:Brighton and Hove,TLJ21,21820,22627,23257,22695,24834
itl321:East Sussex CC,TLJ22,21062,21524,22088,21775,23215
itl321:West Surrey,TLJ25,28804,30139,30984,29996,31392
itl321:East Surrey,TLJ26,27805,28763,29604,28702,29767
itl321:West Sussex (South West),TLJ27,21575,22342,22764,22462,22943
itl321:West Sussex (North East),TLJ28,23328,24295,25096,24401,24427
itl321:Portsmouth,TLJ31,15936,16496,17187,17511,18576
itl321:Southampton,TLJ32,16312,16910,17503,17444,18100
itl321:Isle of Wight,TLJ34,17299,18035,18756,18745,19522
itl321:South Hampshire,TLJ35,19600,20196,20891,20549,21192
itl321:Central Hampshire,TLJ36,24163,25102,25924,25193,25983
itl321:North Hampshire,TLJ37,23392,24313,25039,24678,24439
itl321:Medway,TLJ41,18304,18895,19573,19766,20384
itl321:Kent Thames Gateway,TLJ43,19284,19926,20610,20459,21102
itl321:East Kent,TLJ44,18172,18671,19225,19400,20834
itl321:Mid Kent,TLJ45,20852,21475,22094,21950,22528
itl321:West Kent,TLJ46,25936,27057,27691,26908,28312
"itl321:Bristol, City of",TLK11,18877,19583,20742,20497,21084
"itl321:Bath and North East Somerset, North Somerset and South Gloucestershire",TLK12,20740,21683,22305,21658,22465
itl321:Gloucestershire CC,TLK13,20511,21290,22127,21618,22299
itl321:Swindon,TLK14,18726,19442,20312,20175,19815
itl321:Wiltshire,TLK15,20765,21860,22844,22267,22645
itl321:Somerset CC,TLK23,18923,19637,20466,20211,20812
"itl321:Bournemouth, Christchurch and Poole",TLK24,19771,20625,21593,21058,21751
itl321:Dorset,TLK25,20416,21271,22088,21640,22358
itl321:Cornwall and Isles of Scilly,TLK30,17615,17988,18746,18854,19772
itl321:Plymouth,TLK41,16021,16522,17247,17215,17472
itl321:Torbay,TLK42,17461,17950,18498,18767,19254
itl321:Devon CC,TLK43,18989,19744,20435,20080,20953
itl321:Isle of Anglesey,TLL11,16389,16854,17072,17154,18046
itl321:Gwynedd,TLL12,15006,15343,15707,15763,17430
itl321:Conwy and Denbighshire,TLL13,16684,17364,17600,17559,18434
itl321:South West Wales,TLL14,15785,16370,16769,16806,17717
itl321:Central Valleys,TLL15,14677,15239,15641,15835,16565
itl321:Gwent Valleys,TLL16,14643,15204,15730,15929,16825
itl321:Bridgend and Neath Port Talbot,TLL17,15573,16045,16474,16728,17179
itl321:Swansea,TLL18,15169,15715,16197,16670,17772
itl321:Monmouthshire and Newport,TLL21,17502,18299,18830,18786,19205
itl321:Cardiff and Vale of Glamorgan,TLL22,16846,17682,18052,18349,19448
itl321:Flintshire and Wrexham,TLL23,17242,17669,17950,18045,18490
itl321:Powys,TLL24,16984,17644,18303,18361,19113
itl321:Aberdeen City and Aberdeenshire,TLM50,20534,21104,21707,21170,21503
"itl321:Caithness and Sutherland, and Ross and Cromarty",TLM61,18146,18283,18949,18937,19398
"itl321:Inverness and Nairn, Moray, and Badenoch and Strathspey",TLM62,18021,18829,19501,19210,19586
"itl321:Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute",TLM63,17355,18098,19432,19377,19723
itl321:Na h-Eileanan Siar,TLM64,16462,17459,18491,18276,18594
itl321:Orkney Islands,TLM65,17672,18142,18787,18804,19531
itl321:Shetland Islands,TLM66,19586,19701,20819,20644,21045
itl321:Angus and Dundee City,TLM71,16534,17017,17702,17586,17952
itl321:Clackmannanshire and Fife,TLM72,17180,17456,18011,18025,18468
itl321:East Lothian and Midlothian,TLM73,19715,20260,21013,21076,21626
itl321:City of Edinburgh,TLM75,21707,22543,23861,23360,24161
itl321:Falkirk,TLM76,17060,17805,18291,18006,18236
"itl321:Perth and Kinross, and Stirling",TLM77,19439,20028,20775,20490,20903
itl321:West Lothian,TLM78,17366,17907,18233,18265,18584
"itl321:East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond",TLM81,19258,20049,20362,20121,20632
itl321:Glasgow City,TLM82,15699,15958,16573,16710,17215
"itl321:Inverclyde, East Renfrewshire, and Renfrewshire",TLM83,18504,19042,19415,19308,19718
itl321:North Lanarkshire,TLM84,16261,16645,17084,17096,17403
itl321:Scottish Borders,TLM91,18739,18968,19942,19975,20649
itl321:Dumfries and Galloway,TLM92,17300,17587,18378,18442,19172
itl321:East Ayrshire and North Ayrshire mainland,TLM93,15935,16389,16935,16964,17287
itl321:South Ayrshire,TLM94,18037,18416,18705,18648,19134
itl321:South Lanarkshire,TLM95,17751,18406,19009,19183,19577
itl321:Belfast,TLN06,15605,16167,16726,16773,17507
"itl321:Armagh City, Banbridge and Craigavon",TLN07,15589,15900,16473,16453,17216
"itl321:Newry, Mourne and Down",TLN08,15316,15814,16444,16477,17275
